TIME(s)	'A,A'	Nloops	nOverlapPartner	nOverlapSystem	nOverlapSpanBox	nDisplace2D	nDisplace3D	nDisplace3Dto2D	nAssocSuccess
0.13285	103	48	29	0	0	0	0	0	67
0.133306	103	48	29	0	0	0	0	0	67
0.133763	103	48	29	0	0	0	0	0	67
0.134219	103	48	29	0	0	0	0	0	67
0.134676	103	48	29	0	0	0	0	0	67
0.135132	103	48	29	0	0	0	0	0	67
0.135589	103	48	29	0	0	0	0	0	67
0.136045	103	48	29	0	0	0	0	0	67
0.136502	103	48	29	0	0	0	0	0	67
0.136959	103	48	29	0	0	0	0	0	67
0.137415	103	48	29	0	0	0	0	0	67
0.137872	103	48	29	0	0	0	0	0	67
0.138328	103	48	29	0	0	0	0	0	67
0.138785	103	48	29	0	0	0	0	0	67
0.139241	103	48	29	0	0	0	0	0	67
0.139698	103	48	29	0	0	0	0	0	67
0.140154	103	48	29	0	0	0	0	0	67
0.140611	103	48	29	0	0	0	0	0	67
0.141067	103	48	29	0	0	0	0	0	67
0.141524	103	48	29	0	0	0	0	0	67
0.14198	103	48	29	0	0	0	0	0	67
0.142437	103	48	29	0	0	0	0	0	67
0.142893	103	48	29	0	0	0	0	0	67
0.14335	103	48	29	0	0	0	0	0	67
0.143806	103	48	29	0	0	0	0	0	67
0.144263	103	48	29	0	0	0	0	0	67
0.14472	103	48	29	0	0	0	0	0	67
0.145176	103	48	29	0	0	0	0	0	67
0.145633	103	48	29	0	0	0	0	0	67
0.146089	103	48	29	0	0	0	0	0	67
0.146546	103	48	29	0	0	0	0	0	67
0.147002	103	48	29	0	0	0	0	0	67
0.147459	103	48	29	0	0	0	0	0	67
0.147915	103	48	29	0	0	0	0	0	67
0.148372	103	48	29	0	0	0	0	0	67
0.148828	103	48	29	0	0	0	0	0	67
0.149285	103	48	29	0	0	0	0	0	67
0.149741	103	48	29	0	0	0	0	0	67
0.150198	103	48	29	0	0	0	0	0	67
0.150654	103	48	29	0	0	0	0	0	67
0.151111	103	48	30	0	0	0	0	0	67
0.151567	103	48	30	0	0	0	0	0	67
0.152024	103	48	30	0	0	0	0	0	67
0.152481	103	48	30	0	0	0	0	0	67
0.152937	103	48	30	0	0	0	0	0	67
0.153394	103	48	30	0	0	0	0	0	67
0.15385	103	48	30	0	0	0	0	0	67
0.154307	103	48	30	0	0	0	0	0	67
0.154763	103	48	30	0	0	0	0	0	67
0.15522	103	48	30	0	0	0	0	0	67
0.155676	103	48	30	0	0	0	0	0	67
0.156133	103	48	30	0	0	0	0	0	67
0.156589	103	48	30	0	0	0	0	0	67
0.157046	103	48	31	0	0	0	0	0	67
0.157502	103	48	31	0	0	0	0	0	67
0.157959	103	48	31	0	0	0	0	0	67
0.158415	103	48	31	0	0	0	0	0	67
0.158872	103	48	31	0	0	0	0	0	67
0.159328	103	48	31	0	0	0	0	0	67
0.159785	103	48	31	0	0	0	0	0	67
0.160241	103	48	31	0	0	0	0	0	67
0.160698	103	48	31	0	0	0	0	0	67
0.161155	103	48	31	0	0	0	0	0	67
0.161611	103	48	32	0	0	0	0	0	67
0.162068	103	48	32	0	0	0	0	0	67
0.162524	103	48	32	0	0	0	0	0	67
0.162981	103	48	32	0	0	0	0	0	67
0.163437	103	48	32	0	0	0	0	0	67
0.163894	103	48	32	0	0	0	0	0	67
0.16435	103	48	32	0	0	0	0	0	67
0.164807	103	48	32	0	0	0	0	0	67
0.165263	103	48	32	0	0	0	0	0	67
0.16572	103	48	32	0	0	0	0	0	67
0.166176	103	48	32	0	0	0	0	0	67
0.166633	103	48	32	0	0	0	0	0	67
0.167089	103	48	32	0	0	0	0	0	67
0.167546	103	48	32	0	0	0	0	0	67
0.168002	103	48	32	0	0	0	0	0	67
0.168459	103	48	32	0	0	0	0	0	67
0.168916	103	48	32	0	0	0	0	0	67
0.169372	103	48	32	0	0	0	0	0	67
0.169829	103	48	32	0	0	0	0	0	67
0.170285	103	48	32	0	0	0	0	0	67
0.170742	103	48	32	0	0	0	0	0	67
0.171198	103	48	32	0	0	0	0	0	67
0.171655	103	48	32	0	0	0	0	0	67
0.172111	103	48	32	0	0	0	0	0	67
0.172568	103	48	32	0	0	0	0	0	67
0.173024	103	48	32	0	0	0	0	0	67
0.173481	103	48	32	0	0	0	0	0	67
0.173937	103	48	32	0	0	0	0	0	67
0.174394	103	48	32	0	0	0	0	0	67
0.17485	103	48	32	0	0	0	0	0	67
0.175307	103	48	33	0	0	0	0	0	67
0.175763	103	48	33	0	0	0	0	0	67
0.17622	103	48	33	0	0	0	0	0	67
0.176677	103	48	33	0	0	0	0	0	67
0.177133	103	48	33	0	0	0	0	0	67
0.17759	103	48	33	0	0	0	0	0	67
0.178046	103	48	33	0	0	0	0	0	67
0.178503	103	48	33	0	0	0	0	0	67
0.178959	103	48	33	0	0	0	0	0	67
0.179416	103	48	33	0	0	0	0	0	67
0.179872	103	48	33	0	0	0	0	0	67
0.180329	103	48	33	0	0	0	0	0	67
0.180785	103	48	33	0	0	0	0	0	67
0.181242	103	48	33	0	0	0	0	0	67
0.181698	103	48	34	0	0	0	0	0	67
0.182155	103	48	34	0	0	0	0	0	67
0.182611	103	48	34	0	0	0	0	0	67
0.183068	103	48	34	0	0	0	0	0	67
0.183524	103	48	34	0	0	0	0	0	67
0.183981	103	48	34	0	0	0	0	0	67
0.184437	103	48	34	0	0	0	0	0	67
0.184894	103	48	35	0	0	0	0	0	67
0.185351	103	48	35	0	0	0	0	0	67
0.185807	103	48	35	0	0	0	0	0	67
0.186264	103	48	35	0	0	0	0	0	67
0.18672	103	48	35	0	0	0	0	0	67
0.187177	103	48	35	0	0	0	0	0	67
0.187633	103	48	35	0	0	0	0	0	67
0.18809	103	48	35	0	0	0	0	0	67
0.188546	103	48	35	0	0	0	0	0	67
0.189003	103	48	36	0	0	0	0	0	67
0.189459	103	48	36	0	0	0	0	0	67
0.189916	103	48	36	0	0	0	0	0	67
0.190372	103	48	36	0	0	0	0	0	67
0.190829	103	48	36	0	0	0	0	0	67
0.191285	103	48	36	0	0	0	0	0	67
0.191742	103	48	36	0	0	0	0	0	67
0.192198	103	48	36	0	0	0	0	0	67
0.192655	103	48	36	0	0	0	0	0	67
0.193112	103	48	36	0	0	0	0	0	67
0.193568	103	48	36	0	0	0	0	0	67
0.194025	103	48	36	0	0	0	0	0	67
0.194481	103	48	36	0	0	0	0	0	67
0.194938	103	48	36	0	0	0	0	0	67
0.195394	103	48	36	0	0	0	0	0	67
0.195851	103	48	36	0	0	0	0	0	67
0.196307	103	48	36	0	0	0	0	0	67
0.196764	103	48	36	0	0	0	0	0	67
0.19722	103	48	36	0	0	0	0	0	67
0.197677	103	48	36	0	0	0	0	0	67
0.198133	103	48	36	0	0	0	0	0	67
0.19859	103	48	36	0	0	0	0	0	67
0.199046	103	48	36	0	0	0	0	0	67
0.199503	103	48	37	0	0	0	0	0	67
0.199959	103	48	37	0	0	0	0	0	67
0.200416	103	48	37	0	0	0	0	0	67
0.200873	103	48	37	0	0	0	0	0	67
0.201329	103	48	37	0	0	0	0	0	67
0.201786	103	48	37	0	0	0	0	0	67
0.202242	103	48	37	0	0	0	0	0	67
0.202699	103	48	37	0	0	0	0	0	67
0.203155	103	48	37	0	0	0	0	0	67
0.203612	103	48	37	0	0	0	0	0	67
0.204068	103	48	38	0	0	0	0	0	67
0.204525	103	48	38	0	0	0	0	0	67
0.204981	103	48	38	0	0	0	0	0	67
0.205438	103	48	38	0	0	0	0	0	67
0.205894	103	48	39	0	0	0	0	0	67
0.206351	103	48	39	0	0	0	0	0	67
0.206807	103	48	39	0	0	0	0	0	67
0.207264	103	48	39	0	0	0	0	0	67
0.20772	103	48	39	0	0	0	0	0	67
0.208177	103	48	39	0	0	0	0	0	67
0.208634	103	48	39	0	0	0	0	0	67
0.20909	103	48	39	0	0	0	0	0	67
0.209547	103	48	39	0	0	0	0	0	67
0.210003	103	48	39	0	0	0	0	0	67
0.21046	103	48	39	0	0	0	0	0	67
0.210916	103	48	39	0	0	0	0	0	67
0.211373	103	48	39	0	0	0	0	0	67
0.211829	103	48	39	0	0	0	0	0	67
0.212286	103	48	39	0	0	0	0	0	67
0.212742	103	48	39	0	0	0	0	0	67
0.213199	103	48	39	0	0	0	0	0	67
0.213655	103	48	39	0	0	0	0	0	67
0.214112	103	48	39	0	0	0	0	0	67
0.214568	103	48	39	0	0	0	0	0	67
0.215025	103	48	39	0	0	0	0	0	67
0.215481	103	48	39	0	0	0	0	0	67
0.215938	103	48	39	0	0	0	0	0	67
0.216394	103	48	39	0	0	0	0	0	67
0.216851	103	48	39	0	0	0	0	0	67
0.217308	103	48	39	0	0	0	0	0	67
0.217764	103	48	39	0	0	0	0	0	67
0.218221	103	48	39	0	0	0	0	0	67
0.218677	103	48	39	0	0	0	0	0	67
0.219134	103	48	39	0	0	0	0	0	67
0.21959	103	48	39	0	0	0	0	0	67
0.220047	103	48	39	0	0	0	0	0	67
0.220503	103	48	39	0	0	0	0	0	67
0.22096	103	48	39	0	0	0	0	0	67
0.221416	103	48	40	0	0	0	0	0	67
0.221873	103	48	40	0	0	0	0	0	67
0.222329	103	48	40	0	0	0	0	0	67
0.222786	103	48	40	0	0	0	0	0	67
0.223242	103	48	40	0	0	0	0	0	67
0.223699	103	48	40	0	0	0	0	0	67
0.224155	103	48	41	0	0	0	0	0	67
0.224612	103	48	41	0	0	0	0	0	67
0.225069	103	48	41	0	0	0	0	0	67
0.225525	103	48	41	0	0	0	0	0	67
0.225982	103	48	41	0	0	0	0	0	67
0.226438	103	48	41	0	0	0	0	0	67
0.226895	103	48	41	0	0	0	0	0	67
0.227351	103	48	41	0	0	0	0	0	67
0.227808	103	48	41	0	0	0	0	0	67
0.228264	103	48	41	0	0	0	0	0	67
