5	A: 3. 
15	A: 4. 
Time (s): 0.0643705
5	A: 3. 
15	A: 4. 
Time (s): 0.064827
5	A: 3. 
15	A: 4. 
Time (s): 0.0652836
5	A: 3. 
15	A: 4. 
Time (s): 0.0657401
5	A: 3. 
15	A: 4. 
Time (s): 0.0661966
5	A: 3. 
15	A: 4. 
Time (s): 0.0666532
5	A: 3. 
15	A: 4. 
Time (s): 0.0671097
5	A: 3. 
15	A: 4. 
Time (s): 0.0675662
5	A: 3. 
15	A: 4. 
Time (s): 0.0680227
5	A: 3. 
15	A: 4. 
Time (s): 0.0684793
5	A: 3. 
15	A: 4. 
Time (s): 0.0689358
5	A: 3. 
15	A: 4. 
Time (s): 0.0693923
5	A: 3. 
15	A: 4. 
Time (s): 0.0698489
5	A: 3. 
15	A: 4. 
Time (s): 0.0703054
5	A: 3. 
15	A: 4. 
Time (s): 0.0707619
5	A: 3. 
15	A: 4. 
Time (s): 0.0712184
5	A: 3. 
15	A: 4. 
Time (s): 0.071675
5	A: 3. 
15	A: 4. 
Time (s): 0.0721315
5	A: 3. 
15	A: 4. 
Time (s): 0.072588
5	A: 3. 
15	A: 4. 
Time (s): 0.0730446
5	A: 3. 
15	A: 4. 
Time (s): 0.0735011
5	A: 3. 
15	A: 4. 
Time (s): 0.0739576
5	A: 3. 
15	A: 4. 
Time (s): 0.0744141
5	A: 3. 
15	A: 4. 
Time (s): 0.0748707
5	A: 3. 
15	A: 4. 
Time (s): 0.0753272
5	A: 3. 
15	A: 4. 
Time (s): 0.0757837
5	A: 3. 
15	A: 4. 
Time (s): 0.0762403
5	A: 3. 
15	A: 4. 
Time (s): 0.0766968
5	A: 3. 
15	A: 4. 
Time (s): 0.0771533
5	A: 3. 
15	A: 4. 
Time (s): 0.0776098
5	A: 3. 
15	A: 4. 
Time (s): 0.0780664
5	A: 3. 
15	A: 4. 
Time (s): 0.0785229
5	A: 3. 
15	A: 4. 
Time (s): 0.0789794
5	A: 3. 
15	A: 4. 
Time (s): 0.0794359
5	A: 3. 
15	A: 4. 
Time (s): 0.0798925
5	A: 3. 
15	A: 4. 
Time (s): 0.080349
5	A: 3. 
15	A: 4. 
Time (s): 0.0808055
5	A: 3. 
15	A: 4. 
Time (s): 0.0812621
5	A: 3. 
15	A: 4. 
Time (s): 0.0817186
5	A: 3. 
15	A: 4. 
Time (s): 0.0821751
5	A: 3. 
15	A: 4. 
Time (s): 0.0826316
5	A: 3. 
15	A: 4. 
Time (s): 0.0830882
5	A: 3. 
15	A: 4. 
Time (s): 0.0835447
5	A: 3. 
15	A: 4. 
Time (s): 0.0840012
5	A: 3. 
15	A: 4. 
Time (s): 0.0844578
5	A: 3. 
15	A: 4. 
Time (s): 0.0849143
5	A: 3. 
15	A: 4. 
Time (s): 0.0853708
5	A: 3. 
15	A: 4. 
Time (s): 0.0858273
5	A: 3. 
15	A: 4. 
Time (s): 0.0862839
5	A: 3. 
15	A: 4. 
Time (s): 0.0867404
5	A: 3. 
15	A: 4. 
Time (s): 0.0871969
5	A: 3. 
15	A: 4. 
Time (s): 0.0876535
5	A: 3. 
15	A: 4. 
Time (s): 0.08811
5	A: 3. 
15	A: 4. 
Time (s): 0.0885665
5	A: 3. 
15	A: 4. 
Time (s): 0.089023
5	A: 3. 
15	A: 4. 
Time (s): 0.0894796
5	A: 3. 
15	A: 4. 
Time (s): 0.0899361
5	A: 3. 
15	A: 4. 
Time (s): 0.0903926
5	A: 3. 
15	A: 4. 
Time (s): 0.0908492
5	A: 3. 
15	A: 4. 
Time (s): 0.0913057
5	A: 3. 
15	A: 4. 
Time (s): 0.0917622
5	A: 3. 
15	A: 4. 
Time (s): 0.0922187
5	A: 3. 
15	A: 4. 
Time (s): 0.0926753
5	A: 3. 
15	A: 4. 
Time (s): 0.0931318
