69	A: 1. 
Time (s): 0.0404
1	A: 5. 
2	A: 6. 
16	A: 2. 
4	A: 3. 
69	A: 1. 
Time (s): 0.0408
1	A: 5. 
2	A: 6. 
16	A: 2. 
4	A: 3. 
69	A: 1. 
Time (s): 0.0412
1	A: 5. 
2	A: 6. 
18	A: 2. 
4	A: 3. 
65	A: 1. 
Time (s): 0.0416
1	A: 5. 
2	A: 6. 
17	A: 2. 
4	A: 3. 
67	A: 1. 
Time (s): 0.042
1	A: 5. 
2	A: 6. 
17	A: 2. 
4	A: 3. 
67	A: 1. 
Time (s): 0.0424
1	A: 5. 
2	A: 6. 
17	A: 2. 
4	A: 3. 
67	A: 1. 
Time (s): 0.0428
1	A: 5. 
2	A: 6. 
17	A: 2. 
4	A: 3. 
67	A: 1. 
Time (s): 0.0432
1	A: 5. 
2	A: 6. 
17	A: 2. 
4	A: 3. 
67	A: 1. 
Time (s): 0.0436
1	A: 5. 
2	A: 6. 
17	A: 2. 
4	A: 3. 
67	A: 1. 
Time (s): 0.044
1	A: 5. 
2	A: 6. 
17	A: 2. 
4	A: 3. 
67	A: 1. 
Time (s): 0.0444
1	A: 5. 
2	A: 6. 
17	A: 2. 
4	A: 3. 
67	A: 1. 
Time (s): 0.0448
1	A: 5. 
2	A: 6. 
18	A: 2. 
4	A: 3. 
65	A: 1. 
Time (s): 0.0452
1	A: 5. 
2	A: 6. 
18	A: 2. 
4	A: 3. 
65	A: 1. 
Time (s): 0.0456
1	A: 5. 
2	A: 6. 
17	A: 2. 
5	A: 3. 
64	A: 1. 
Time (s): 0.046
1	A: 5. 
2	A: 6. 
17	A: 2. 
5	A: 3. 
64	A: 1. 
Time (s): 0.0464
1	A: 5. 
2	A: 6. 
17	A: 2. 
5	A: 3. 
64	A: 1. 
Time (s): 0.0468
1	A: 5. 
2	A: 6. 
17	A: 2. 
5	A: 3. 
64	A: 1. 
Time (s): 0.0472
1	A: 5. 
2	A: 6. 
18	A: 2. 
4	A: 3. 
65	A: 1. 
Time (s): 0.0476
1	A: 5. 
2	A: 6. 
18	A: 2. 
4	A: 3. 
65	A: 1. 
Time (s): 0.048
1	A: 5. 
2	A: 6. 
18	A: 2. 
4	A: 3. 
65	A: 1. 
Time (s): 0.0484
1	A: 5. 
2	A: 6. 
18	A: 2. 
4	A: 3. 
65	A: 1. 
Time (s): 0.0488
1	A: 5. 
2	A: 6. 
17	A: 2. 
5	A: 3. 
64	A: 1. 
Time (s): 0.0492
1	A: 5. 
2	A: 6. 
17	A: 2. 
5	A: 3. 
64	A: 1. 
Time (s): 0.0496
1	A: 5. 
2	A: 6. 
17	A: 2. 
5	A: 3. 
64	A: 1. 
Time (s): 0.05
1	A: 5. 
2	A: 6. 
17	A: 2. 
5	A: 3. 
64	A: 1. 
Time (s): 0.0504
1	A: 5. 
2	A: 6. 
17	A: 2. 
5	A: 3. 
64	A: 1. 
Time (s): 0.0508
1	A: 5. 
2	A: 6. 
17	A: 2. 
5	A: 3. 
64	A: 1. 
Time (s): 0.0512
1	A: 5. 
2	A: 6. 
17	A: 2. 
5	A: 3. 
64	A: 1. 
Time (s): 0.0516
1	A: 5. 
2	A: 6. 
17	A: 2. 
5	A: 3. 
64	A: 1. 
Time (s): 0.052
1	A: 5. 
2	A: 6. 
17	A: 2. 
5	A: 3. 
64	A: 1. 
Time (s): 0.0524
1	A: 5. 
2	A: 6. 
17	A: 2. 
5	A: 3. 
64	A: 1. 
Time (s): 0.0528
1	A: 5. 
2	A: 6. 
17	A: 2. 
5	A: 3. 
64	A: 1. 
Time (s): 0.0532
1	A: 5. 
2	A: 6. 
17	A: 2. 
5	A: 3. 
64	A: 1. 
Time (s): 0.0536
1	A: 5. 
2	A: 6. 
17	A: 2. 
5	A: 3. 
64	A: 1. 
Time (s): 0.054
1	A: 5. 
2	A: 6. 
18	A: 2. 
5	A: 3. 
62	A: 1. 
Time (s): 0.0544
3	A: 6. 
17	A: 2. 
6	A: 3. 
60	A: 1. 
Time (s): 0.0548
3	A: 6. 
1	A: 4. 
17	A: 2. 
5	A: 3. 
59	A: 1. 
Time (s): 0.0552
3	A: 6. 
1	A: 4. 
17	A: 2. 
5	A: 3. 
59	A: 1. 
Time (s): 0.0556
3	A: 6. 
1	A: 4. 
17	A: 2. 
5	A: 3. 
59	A: 1. 
Time (s): 0.056
3	A: 6. 
1	A: 4. 
16	A: 2. 
6	A: 3. 
58	A: 1. 
Time (s): 0.0564
3	A: 6. 
17	A: 2. 
6	A: 3. 
60	A: 1. 
