time,A1H1L1_de5879c290daacf0e92d721f16a552eb,A1L1_7426bee00654e97954d420aef54eb910,A1_e0a393c92eea1406ea9fd08d7cf34145,H1L1_33a60c1b70e2ceb9bb9b88f20259e46c,H1_fac7c884d52a5e6d0b7ac782a55bb226,L1_05734731e88b8d4b6e3560581fdf83b1
0.06015473054288893,0.27148228424918547,0.22958891939768025,0.495252795772783,0.2683704451674991,0.4564712700029644,0.22688234520442563
0.060284095554809125,0.27149572679190787,0.22958405829920744,0.49524421432285737,0.2683744052233504,0.45645386739871463,0.22686980365347248
0.06041346056672932,0.2715090916864811,0.22957923476560338,0.49523567295628196,0.2683783270344605,0.45643658068742504,0.22685734043122438
0.060542825578649505,0.2715223843989995,0.22957444785827694,0.4952271671455549,0.26838221121938116,0.4564194037844509,0.22684495039163868
0.0606721905905697,0.27153561039555735,0.22956969663863702,0.49521869236317445,0.26838605839666424,0.45640233060514745,0.22683262838867277
0.06080155560248989,0.2715487751422489,0.2295649801680925,0.49521024408163866,0.26838986918486135,0.45638535506487,0.22682036927628407
0.06093092061441008,0.2715618841051683,0.2295602975080522,0.49520181777344574,0.2683936442025245,0.4563684710789737,0.2268081679084299
0.06106028562633027,0.2715749427504099,0.22955564771992512,0.49519340891109387,0.2683973840682053,0.4563516725628139,0.2267960191390677
0.061189650638250465,0.2715879565440679,0.22955102986512005,0.4951850129670812,0.2684010894004556,0.45633495343174585,0.22678391782215482
0.06131901565017065,0.2716009309522366,0.22954644300504592,0.4951766254139058,0.26840476081782716,0.45631830760112474,0.22677185881164863
0.061448380662090844,0.2716138714410102,0.22954188620111163,0.49516824172406587,0.26840839893887186,0.4563017289863059,0.22675983696150656
0.06157774567401104,0.27162678347648295,0.22953735851472604,0.49515985737005963,0.26841200438214136,0.4562852115026445,0.22674784712568596
0.06170711068593123,0.27163967252474913,0.22953285900729803,0.4951514678243852,0.2684155777661876,0.45626874906549586,0.22673588415814425
0.06183647569785142,0.27165254405190303,0.22952838674023648,0.4951430685595407,0.26841911970956217,0.4562523355902152,0.22672394291283876
0.06196584070977161,0.2716654035240388,0.2295239407749503,0.49513465504802434,0.268422630830817,0.4562359649921578,0.2267120182437269
0.062095205721691804,0.27167825640725074,0.22951952017284835,0.49512622276233426,0.2684261117485039,0.4562196311866789,0.22670010500476606
0.06222457073361199,0.27169110816763314,0.22951512399533955,0.4951177671749686,0.26842956308117455,0.4562033280891338,0.2266881980499136
0.062353935745532184,0.2717039642712802,0.22951075130383275,0.4951092837584255,0.2684329854473808,0.45618704961487766,0.22667629223312694
0.06248330075745238,0.27171683018428616,0.22950640115973686,0.4951007679852032,0.26843637946567445,0.4561707896792658,0.22666438240836342
0.06261266576937256,0.27172971137274526,0.22950207262446073,0.49509221532779973,0.2684397457546072,0.45615454219765345,0.22665246342958048
0.06274203078129276,0.27174261330275185,0.2294977647594133,0.49508362125871336,0.26844308493273095,0.4561383010853959,0.22664053015073543
0.06287139579321295,0.2717555414404001,0.22949347662600342,0.4950749812504422,0.26844639761859745,0.45612206025784835,0.2266285774257857
0.06300076080513314,0.27176850125178426,0.22948920728563996,0.49506629077548436,0.26844968443075845,0.45610581363036606,0.2266166001086887
0.06313012581705334,0.2717814982029986,0.22948495579973183,0.4950575453063381,0.26845294598776576,0.45608955511830435,0.22660459305340175
0.06325949082897352,0.27179453776013734,0.2294807212296879,0.49504874031550156,0.2684561829081712,0.45607327863701846,0.22659255111388227
0.06338885584089371,0.2718070976097368,0.22947657788776107,0.49504032380387053,0.26845937078342225,0.4560575309082095,0.22658094669686502
0.0635182208528139,0.271816917906338,0.22947284782363012,0.495034233565869,0.26846240281186556,0.4560446785776337,0.22657182438674378
0.0636475858647341,0.27182662259340723,0.2294691567560284,0.4950282199408677,0.2684654037792458,0.45603197291765046,0.2265628097506734
0.06377695087665429,0.27183621409468833,0.22946550418014333,0.49502228100993495,0.2684683741598477,0.45601941103023075,0.2265539003954327
0.06390631588857448,0.27184569483392507,0.22946188959116234,0.495016414854139,0.2684713144279559,0.4560069900173456,0.22654509392780062
0.06403568090049468,0.2718550672348612,0.22945831248427284,0.4950106195545481,0.26847422505785506,0.45599470698096606,0.22653638795455602
0.06416504591241486,0.27186433372124047,0.22945477235466225,0.4950048931922306,0.26847710652382994,0.4559825590230631,0.22652778008247784
0.06429441092433505,0.27187349671680666,0.22945126869751797,0.4949992338482547,0.2684799593001652,0.4559705432456077,0.22651926791834492
0.06442377593625524,0.2718825586453036,0.22944780100802745,0.4949936396036888,0.26848278386114555,0.45595865675057085,0.2265108490689362
0.06455314094817544,0.27189152193047506,0.22944436878137806,0.494988108539601,0.26848558068105566,0.4559468966399236,0.22650252114103056
0.06468250596009563,0.2719003889960647,0.22944097151275725,0.4949826387370598,0.2684883502341803,0.4559352600156369,0.2264942817414069
0.06481187097201582,0.2719091622658164,0.2294376086973524,0.49497722827713325,0.26849109299480406,0.4559237439796818,0.2264861284768441
0.06494123598393602,0.2719178441634739,0.22943427983035097,0.4949718752408898,0.2684938094372117,0.45591234563402927,0.22647805895412104
0.0650706009958562,0.27192643711278097,0.22943098440694035,0.49496657770939767,0.2684965000356878,0.45590106208065034,0.22647007078001666
0.06519996600777639,0.27193494353748143,0.22942772192230795,0.4949613337637251,0.2684991652645173,0.45588989042151595,0.22646216156130983
0.06532933101969658,0.27194336586131895,0.2294244918716412,0.49495614148494044,0.26850180559798464,0.45587882775859717,0.22645432890477943
0.06545869603161678,0.2719517065080374,0.22942129375012754,0.494950998954112,0.2685044215103747,0.455867871193865,0.22644657041720437
0.06558806104353697,0.27195996790138055,0.22941812705295433,0.49494590425230794,0.268507013475972,0.45585701782929045,0.22643888370536353
0.06571742605545716,0.2719681524650921,0.22941499127530904,0.49494085546059663,0.2685095819690614,0.4558462647668444,0.22643126637603583
0.06584679106737734,0.27197626262291585,0.22941188591237904,0.4949358506600463,0.2685121274639275,0.455835609108498,0.22642371603600014
0.06597615607929753,0.2719843007985956,0.2294088104593518,0.4949308879317253,0.268514650434855,0.4558250479562222,0.2264162302920354
