TIME(s)	'A,L'	'H,L'	Nloops	nOverlapPartner	nOverlapSystem	nOverlapSpanBox	nDisplace2D	nDisplace3D	nDisplace3Dto2D	nAssocSuccess
0.0602238	40	38	0	0	0	0	0	0	0	194
0.0604823	40	38	0	0	0	0	0	0	0	194
0.0607408	40	38	0	0	0	0	0	0	0	194
0.0609992	40	38	0	0	0	0	0	0	0	194
0.0612577	39	39	0	0	0	0	0	0	0	195
0.0615162	40	39	0	0	0	0	0	0	0	196
0.0617746	40	39	0	0	0	0	0	0	0	196
0.0620331	39	41	0	0	0	0	0	0	0	199
0.0622916	39	40	0	0	0	0	0	0	0	199
0.0625501	40	40	0	0	0	0	0	0	0	200
0.0628085	41	39	0	0	0	0	0	0	0	201
0.063067	41	39	0	0	0	0	0	0	0	202
0.0633255	41	39	0	0	0	0	0	0	0	202
0.0635839	42	39	0	0	0	0	0	0	0	203
0.0638424	43	39	0	0	0	0	0	0	0	204
0.0641009	42	39	0	0	0	0	0	0	0	204
0.0643594	41	40	0	0	0	0	0	0	0	205
0.0646178	42	42	0	0	0	0	0	0	0	208
0.0648763	41	42	0	0	0	0	0	0	0	208
0.0651348	41	43	0	0	0	0	0	0	0	209
0.0653932	39	43	0	0	0	0	0	0	0	209
0.0656517	39	44	0	0	0	0	0	0	0	211
0.0659102	39	44	0	0	0	0	0	0	0	211
0.0661687	39	43	0	0	0	0	0	0	0	211
0.0664271	39	43	0	0	0	0	0	0	0	211
0.0666856	38	43	0	0	0	0	0	0	0	211
0.0669441	38	45	0	0	0	0	0	0	0	213
0.0672025	38	46	0	0	0	0	0	0	0	214
0.067461	38	46	0	0	0	0	0	0	0	214
0.0677195	39	46	0	0	0	0	0	0	0	215
0.067978	39	45	0	0	0	0	0	0	0	215
0.0682364	38	46	0	0	0	0	0	0	0	216
0.0684949	37	46	0	0	0	0	0	0	0	216
0.0687534	37	45	0	0	0	0	0	0	0	216
0.0690118	38	45	0	0	0	0	0	0	0	217
0.0692703	38	45	0	0	0	0	0	0	0	217
0.0695288	37	45	0	0	0	0	0	0	0	217
0.0697872	37	45	0	0	0	0	0	0	0	217
0.0700457	38	44	0	0	0	0	0	0	0	218
0.0703042	38	44	0	0	0	0	0	0	0	218
0.0705627	38	42	0	0	0	0	0	0	0	218
0.0708211	37	41	0	0	0	0	0	0	0	219
0.0710796	36	41	0	0	0	0	0	0	0	219
0.0713381	37	41	0	0	0	0	0	0	0	220
0.0715965	37	41	0	0	0	0	0	0	0	220
0.071855	35	41	0	0	0	0	0	0	0	220
0.0721135	35	41	0	0	0	0	0	0	0	220
0.072372	36	42	0	0	0	0	0	0	0	222
0.0726304	36	42	0	0	0	0	0	0	0	223
0.0728889	36	42	0	0	0	0	0	0	0	223
0.0731474	36	42	0	0	0	0	0	0	0	224
0.0734058	36	42	0	0	0	0	0	0	0	224
0.0736643	36	42	0	0	0	0	0	0	0	224
0.0739228	36	42	0	0	0	0	0	0	0	225
0.0741813	36	41	0	0	0	0	0	0	0	225
0.0744397	35	40	0	0	0	0	0	0	0	225
0.0746982	34	41	0	0	0	0	0	0	0	226
0.0749567	34	41	0	0	0	0	0	0	0	226
0.0752151	33	41	0	0	0	0	0	0	0	226
0.0754736	32	41	0	0	0	0	0	0	0	226
0.0757321	32	40	0	0	0	0	0	0	0	226
0.0759906	32	40	0	0	0	0	0	0	0	227
0.076249	33	40	0	0	0	0	0	0	0	228
0.0765075	34	39	0	0	0	0	0	0	0	229
0.076766	34	39	0	0	0	0	0	0	0	229
0.0770244	35	39	0	0	0	0	0	0	0	230
0.0772829	35	40	0	0	0	0	0	0	0	232
0.0775414	36	40	0	0	0	0	0	0	0	233
0.0777999	36	39	0	0	0	0	0	0	0	234
0.0780583	36	39	0	0	0	0	0	0	0	234
0.0783168	35	39	0	0	0	0	0	0	0	234
0.0785753	35	39	0	0	0	0	0	0	0	234
0.0788337	35	38	0	0	0	0	0	0	0	234
0.0790922	36	37	0	0	0	0	0	0	0	235
0.0793507	36	39	0	0	0	0	0	0	0	237
0.0796092	36	40	0	0	0	0	0	0	0	238
0.0798676	36	41	0	0	0	0	0	0	0	239
0.0801261	35	40	0	0	0	0	0	0	0	239
0.0803846	36	40	0	0	0	0	0	0	0	240
0.080643	36	41	0	0	0	0	0	0	0	241
0.0809015	36	40	0	0	0	0	0	0	0	241
0.08116	37	41	0	0	0	0	0	0	0	243
0.0814185	37	42	0	0	0	0	0	0	0	244
0.0816769	37	42	0	0	0	0	0	0	0	244
0.0819354	38	41	0	0	0	0	0	0	0	245
0.0821939	38	41	0	0	0	0	0	0	0	245
0.0824523	38	41	0	0	0	0	0	0	0	245
0.0827108	38	41	0	0	0	0	0	0	0	245
0.0829693	39	41	0	0	0	0	0	0	0	246
0.0832278	39	41	0	0	0	0	0	0	0	246
0.0834862	39	41	0	0	0	0	0	0	0	247
0.0837447	39	41	0	0	0	0	0	0	0	247
0.0840032	39	41	0	0	0	0	0	0	0	247
0.0842616	40	42	0	0	0	0	0	0	0	249
0.0845201	40	43	0	0	0	0	0	0	0	251
0.0847786	40	42	0	0	0	0	0	0	0	251
0.0850371	41	42	0	0	0	0	0	0	0	252
0.0852955	41	42	0	0	0	0	0	0	0	253
0.085554	41	42	0	0	0	0	0	0	0	253
0.0858125	40	42	0	0	0	0	0	0	0	253
0.0860709	41	42	0	0	0	0	0	0	0	254
0.0863294	41	42	0	0	0	0	0	0	0	254
0.0865879	41	43	0	0	0	0	0	0	0	255
0.0868464	43	45	0	0	0	0	0	0	0	259
0.0871048	44	45	0	0	0	0	0	0	0	260
0.0873633	44	44	0	0	0	0	0	0	0	260
0.0876218	44	44	0	0	0	0	0	0	0	260
0.0878802	45	44	0	0	0	0	0	0	0	261
0.0881387	45	43	0	0	0	0	0	0	0	261
0.0883972	44	42	0	0	0	0	0	0	0	261
0.0886557	44	41	0	0	0	0	0	0	0	261
0.0889141	45	40	0	0	0	0	0	0	0	262
0.0891726	43	38	0	0	0	0	0	0	0	262
0.0894311	42	38	0	0	0	0	0	0	0	262
0.0896895	41	38	0	0	0	0	0	0	0	262
0.089948	41	38	0	0	0	0	0	0	0	262
0.0902065	41	38	0	0	0	0	0	0	0	263
0.090465	41	39	0	0	0	0	0	0	0	264
0.0907234	40	39	0	0	0	0	0	0	0	264
0.0909819	41	39	0	0	0	0	0	0	0	265
0.0912404	42	39	0	0	0	0	0	0	0	266
0.0914988	42	39	0	0	0	0	0	0	0	266
0.0917573	42	39	0	0	0	0	0	0	0	266
0.0920158	42	39	0	0	0	0	0	0	0	266
0.0922743	42	40	0	0	0	0	0	0	0	267
0.0925327	42	40	0	0	0	0	0	0	0	268
0.0927912	42	41	0	0	0	0	0	0	0	269
0.0930497	42	40	0	0	0	0	0	0	0	269
0.0933081	40	41	0	0	0	0	0	0	0	270
0.0935666	39	41	0	0	0	0	0	0	0	270
0.0938251	39	41	0	0	0	0	0	0	0	270
0.0940836	39	42	0	0	0	0	0	0	0	271
0.094342	39	43	0	0	0	0	0	0	0	272
0.0946005	39	43	0	0	0	0	0	0	0	272
0.094859	39	42	0	0	0	0	0	0	0	273
0.0951174	39	42	0	0	0	0	0	0	0	273
0.0953759	39	43	0	0	0	0	0	0	0	274
0.0956344	39	42	0	0	0	0	0	0	0	274
0.0958929	40	41	0	0	0	0	0	0	0	275
0.0961513	40	41	0	0	0	0	0	0	0	275
0.0964098	39	41	0	0	0	0	0	0	0	275
0.0966683	39	41	0	0	0	0	0	0	0	276
0.0969267	40	41	0	0	0	0	0	0	0	277
0.0971852	40	41	0	0	0	0	0	0	0	277
0.0974437	41	42	0	0	0	0	0	0	0	279
0.0977021	43	41	0	0	0	0	0	0	0	281
0.0979606	43	41	0	0	0	0	0	0	0	281
0.0982191	42	41	0	0	0	0	0	0	0	281
0.0984776	42	41	0	0	0	0	0	0	0	281
0.098736	41	42	0	0	0	0	0	0	0	282
0.0989945	42	41	0	0	0	0	0	0	0	283
0.099253	44	42	0	0	0	0	0	0	0	286
0.0995114	44	42	0	0	0	0	0	0	0	288
0.0997699	43	41	0	0	0	0	0	0	0	288
0.100028	41	41	0	0	0	0	0	0	0	288
0.100287	41	41	0	0	0	0	0	0	0	288
0.100545	41	40	0	0	0	0	0	0	0	288
0.100804	40	40	0	0	0	0	0	0	0	288
0.101062	40	39	0	0	0	0	0	0	0	288
0.101321	40	39	0	0	0	0	0	0	0	288
0.101579	40	40	0	0	0	0	0	0	0	290
0.101838	41	40	0	0	0	0	0	0	0	291
0.102096	41	40	0	0	0	0	0	0	0	291
0.102355	42	40	0	0	0	0	0	0	0	292
0.102613	42	40	0	0	0	0	0	0	0	292
0.102872	42	40	0	0	0	0	0	0	0	292
0.10313	42	40	0	0	0	0	0	0	0	292
0.103389	41	40	0	0	0	0	0	0	0	292
0.103647	40	42	0	0	0	0	0	0	0	294
0.103905	41	42	0	0	0	0	0	0	0	295
0.104164	41	42	0	0	0	0	0	0	0	295
0.104422	41	41	0	0	0	0	0	0	0	295
0.104681	42	41	0	0	0	0	0	0	0	296
0.104939	41	41	0	0	0	0	0	0	0	296
0.105198	42	41	0	0	0	0	0	0	0	297
0.105456	43	42	0	0	0	0	0	0	0	299
0.105715	44	42	0	0	0	0	0	0	0	300
0.105973	44	42	0	0	0	0	0	0	0	300
0.106232	44	41	0	0	0	0	0	0	0	300
0.10649	44	41	0	0	0	0	0	0	0	301
0.106749	44	40	0	0	0	0	0	0	0	302
0.107007	44	40	0	0	0	0	0	0	0	302
0.107266	43	41	0	0	0	0	0	0	0	303
0.107524	43	41	0	0	0	0	0	0	0	304
0.107783	42	41	0	0	0	0	0	0	0	305
0.108041	43	41	0	0	0	0	0	0	0	306
0.108299	43	40	0	0	0	0	0	0	0	306
0.108558	43	40	0	0	0	0	0	0	0	306
0.108816	44	39	0	0	0	0	0	0	0	307
0.109075	43	40	0	0	0	0	0	0	0	308
0.109333	43	40	0	0	0	0	0	0	0	308
0.109592	43	38	0	0	0	0	0	0	0	308
0.10985	43	39	0	0	0	0	0	0	0	310
0.110109	44	40	0	0	0	0	0	0	0	312
0.110367	44	41	0	0	0	0	0	0	0	313
0.110626	44	41	0	0	0	0	0	0	0	313
0.110884	44	41	0	0	0	0	0	0	0	314
0.111143	44	40	0	0	0	0	0	0	0	314
0.111401	43	38	0	0	0	0	0	0	0	315
0.11166	43	39	0	0	0	0	0	0	0	316
0.111918	43	39	0	0	0	0	0	0	0	317
0.112177	43	39	0	0	0	0	0	0	0	317
0.112435	44	40	0	0	0	0	0	0	0	319
0.112693	44	40	0	0	0	0	0	0	0	319
0.112952	43	40	0	0	0	0	0	0	0	319
0.11321	42	40	0	0	0	0	0	0	0	319
0.113469	42	39	0	0	0	0	0	0	0	320
0.113727	42	38	0	0	0	0	0	0	0	320
0.113986	42	36	0	0	0	0	0	0	0	320
0.114244	42	36	0	0	0	0	0	0	0	320
0.114503	42	36	0	0	0	0	0	0	0	320
0.114761	43	36	0	0	0	0	0	0	0	321
0.11502	44	36	0	0	0	0	0	0	0	322
0.115278	43	36	0	0	0	0	0	0	0	322
0.115537	43	36	0	0	0	0	0	0	0	323
0.115795	42	35	0	0	0	0	0	0	0	323
0.116054	42	35	0	0	0	0	0	0	0	323
0.116312	39	35	0	0	0	0	0	0	0	323
0.116571	39	33	0	0	0	0	0	0	0	323
0.116829	41	33	0	0	0	0	0	0	0	325
0.117087	40	33	0	0	0	0	0	0	0	325
0.117346	41	33	0	0	0	0	0	0	0	326
0.117604	41	34	0	0	0	0	0	0	0	327
0.117863	41	34	0	0	0	0	0	0	0	327
0.118121	41	35	0	0	0	0	0	0	0	328
0.11838	41	35	0	0	0	0	0	0	0	329
0.118638	40	35	0	0	0	0	0	0	0	329
0.118897	40	35	0	0	0	0	0	0	0	329
0.119155	40	35	0	0	0	0	0	0	0	329
0.119414	41	36	0	0	0	0	0	0	0	331
0.119672	41	36	0	0	0	0	0	0	0	331
0.119931	41	37	0	0	0	0	0	0	0	332
0.120189	42	36	0	0	0	0	0	0	0	333
0.120448	41	36	0	0	0	0	0	0	0	333
0.120706	42	37	0	0	0	0	0	0	0	335
0.120965	42	39	0	0	0	0	0	0	0	337
0.121223	42	40	0	0	0	0	0	0	0	338
0.121482	40	39	0	0	0	0	0	0	0	338
0.12174	41	40	0	0	0	0	0	0	0	341
0.121998	42	40	0	0	0	0	0	0	0	342
0.122257	42	40	0	0	0	0	0	0	0	342
0.122515	43	39	0	0	0	0	0	0	0	343
0.122774	41	39	0	0	0	0	0	0	0	343
0.123032	41	39	0	0	0	0	0	0	0	343
