Time (s): 0
39	H: 1. 
19	A: 1. H: 1. L: 1. 
Time (s): 0.0325674
38	A: 1. 
15	A: 1. L: 1. 
23	L: 1. 
15	H: 1. L: 1. 
38	H: 1. 
22	A: 1. H: 1. L: 1. 
Time (s): 0.0328259
38	A: 1. 
15	A: 1. L: 1. 
23	L: 1. 
15	H: 1. L: 1. 
38	H: 1. 
22	A: 1. H: 1. L: 1. 
Time (s): 0.0330843
40	A: 1. 
16	A: 1. L: 1. 
23	L: 1. 
17	H: 1. L: 1. 
39	H: 1. 
19	A: 1. H: 1. L: 1. 
Time (s): 0.0333428
15	A: 1. L: 1. 
40	A: 1. 
23	L: 1. 
17	H: 1. L: 1. 
38	H: 1. 
20	A: 1. H: 1. L: 1. 
Time (s): 0.0336013
15	A: 1. L: 1. 
39	A: 1. 
24	L: 1. 
15	H: 1. L: 1. 
39	H: 1. 
21	A: 1. H: 1. L: 1. 
Time (s): 0.0338597
14	A: 1. L: 1. 
